country_code,year,gdp
TLS,2022,1578.51778365868
TLS,2023,1278.4186467123
TLS,2024,1235.8341095362
TON,2000,3883.933316771355
TON,2001,3976.0851717668047
TON,2002,4040.5932643302
TON,2003,3979.12860638556
TON,2004,3904.06542441495
TON,2005,3827.6595136466303
TON,2006,3720.57199271555
TON,2007,3749.748595152735
TON,2008,3732.18133026669
TON,2009,3642.369571300795
TON,2010,3773.373125078765
TON,2011,3912.680874656705
TON,2012,3947.381740647315
TON,2013,4010.492826981305
TON,2014,4091.35965843143
TON,2015,4271.859109696015
TON,2016,4494.21979831442
TON,2017,4579.73344312919
TON,2018,4583.84651080113
TON,2019,4616.891429950745
TON,2020,4670.115711773926
TON,2021,4638.966970083045
TON,2022,4652.491524087345
TON,2023,4761.312806621133
TON,2024,4872.138444182639
TUV,2000,3056.55101983122
TUV,2001,3043.15907920605
TUV,2002,3320.16858154912
TUV,2003,3152.22822039796
TUV,2004,3042.6128529965
TUV,2005,2864.90524160208
TUV,2006,2900.92710155819
TUV,2007,3069.67368184077
TUV,2008,3230.22109521715
TUV,2009,2987.80397939993
TUV,2010,2879.29645720352
TUV,2011,3028.2511217061
TUV,2012,2922.07629963849
TUV,2013,3030.55285189857
TUV,2014,3035.24325598472
TUV,2015,3357.83417700071
TUV,2016,3558.61212970652
TUV,2017,3666.20189700038
TUV,2018,3757.85997284742
TUV,2019,4345.99606453315
TUV,2020,4233.0183205634
TUV,2021,4396.04894488478
TUV,2022,4515.29701517492
TUV,2023,4773.34085526672
TUV,2024,5054.766714266886
VNM,2000,1212.19657794381
VNM,2001,1273.8052690094
VNM,2002,1340.51670460271
VNM,2003,1418.74337471509
VNM,2004,1510.94449049599
VNM,2005,1609.96268313651
VNM,2006,1699.67620343393
VNM,2007,1788.9485028957
VNM,2008,1856.00519883979
VNM,2009,1927.13427057454
VNM,2010,2027.58184375924
VNM,2011,2132.90453762087
VNM,2012,2224.11404253256
VNM,2013,2320.08431444934
VNM,2014,2439.28655744423
VNM,2015,2577.56885340113
VNM,2016,2715.57887431272
VNM,2017,2868.13680013379
VNM,2018,3048.28327602145
VNM,2019,3241.07648966529
VNM,2020,3303.16949807493
VNM,2021,3358.21734764714
VNM,2022,3617.66311465012
VNM,2023,3775.46375555802
VNM,2024,4017.74604111554
VUT,2000,2841.73909435642
VUT,2001,2676.92934450613
VUT,2002,2475.16636434639
VUT,2003,2518.521315183
VUT,2004,2555.73432279339
VUT,2005,2626.85057870874
VUT,2006,2780.97475852227
